sha	surfaces	date	sujet
129b153eb594	DOC	2026-09-05	handoff: arbitrate RLS matrix proof
130bab57f3e3	DOC	2026-09-05	handoff: arbitrate mutation site guard
1840dbcd28cc	DOC	2026-09-05	handoff: fermeture bloqueur 1 apres rejeu correctif
1f27e39d16cf	DOC	2026-09-05	Demande MUTATION-SITE-GUARD — deux anomalies fermées, deux INSERT signalés
204116968afa	DOC	2026-09-05	B1 — rejeu correctif réussi, demande de fermeture du bloqueur 1
2628bc44c79e	DOC	2026-09-05	Recette transversale finale — 05/09/2026
2aa463f2f3f8	DOC	2026-09-05	handoff: arbitrage B1 rejeu navigateur
3370b36700f4	DOC	2026-09-05	handoff: close S-4 and defer RLS replay to blocker closure
46ea76ae0ca2	DOC	2026-09-05	Demande Verify — quart proposé automatiquement, rejeu réel concluant
53bc3f308a2c	DOC	2026-09-05	Handoff S-4 — implémenté, déployé, 9 preuves sur 10 produites
55961267ffa0	DOC	2026-09-05	Rejeu bloqueur 1 — fiche de rejeu et état de départ constaté
65083a12037e	DOC	2026-09-05	Demande NEXUS BASELINE 1 — proposition de gel, en attente d'arbitrage
65f95d02305d	DOC	2026-09-05	Demande NEXUS BASELINE 1 (request-2) — registre complet, A15 et A16 clarifiées
6627f3cdb6cb	DOC	2026-09-05	RLS-UPDATE-MATRIX-PROOF — deux anomalies découvertes, non corrigées
67ecdcea3371	DOC	2026-09-05	Handoff S-5 — diagnostic du rattachement shift_id, en attente d'arbitrage
72a632a5ccfe	DOC	2026-09-05	handoff: close S-5 pending blocker-1 browser replay
75b1c32e39d3	DOC	2026-09-05	handoff: arbitrate SITE-EXPLICITE-1 phase 1
786ee194d4d9	DOC	2026-09-05	Baseline 1 — matrice finale de recette et proposition de gel
7ca2346d9eec	DOC	2026-09-05	Baseline 1 — registre complet des dettes, A15 et A16 clarifiées
7e32842d5dcf	DOC	2026-09-05	Rejeu bloqueur 1 — S-3 ne fonctionne pas depuis l'application
85e53e9552cf	DOC	2026-09-05	RLS-MATRIX-PROOF — 0 anomalie sur 54 tables, aucune policy modifiée
87719fed0a90	DOC	2026-09-05	Demande STATIC-SITE-GUARD — trois occurrences trouvées, aucune corrigée
8dcd1d792101	DOC	2026-09-05	A4-bis — clôture : rejeu des six écrans sur le déploiement réel
8ef548e62772	DOC	2026-09-05	handoff: request evidence before NEXUS Baseline 1 freeze
8f9cd7b48a5c	DOC	2026-09-05	docs: add current handoff template
92a2926a8fa5	DOC	2026-09-05	recette: A6 et A14 fermés sur preuves de déploiement réel
996cd62f4463	DOC	2026-09-05	handoff: approve security write guard and next proof stage
9a2ed8f88e33	DOC	2026-09-05	handoff: arbitrate SITE-EXPLICITE Phase 2A
9d64bae45c12	DOC	2026-09-05	handoff: approve and freeze NEXUS Baseline 1
9f4188e949e5	DOC	2026-09-05	recette: consigner A14 et sa portée réelle (documentation seule)
a425dd88aaf6	DOC	2026-09-05	Handoff S-4 — diagnostic des lecteurs du service courant, en attente d'arbitrage
a6dc3afd88df	DOC	2026-09-05	handoff: arbitrate RLS update matrix proof
a8bc6017b0e9	DOC	2026-09-05	A16 — 17 tables avec RLS active et aucune politique (documentaire)
aa224f8723b4	DOC	2026-09-05	Demande INSERT-SITE-GUARD — six occurrences fermées, ADR-0001 acceptée
ab8b9b79034d	DOC	2026-09-05	handoff: arbitre S-5 shift_id inventaire
b16469c7a3c8	DOC	2026-09-05	docs: add NEXUS handoff protocol v1
b49f3d82df61	DOC	2026-09-05	Demande 2B-SECURITY-WRITE-GUARD — exécuté, retour avant extension
b8849ec021d0	DOC	2026-09-05	SITE-EXPLICITE-1 phase 1 — cartographie et preuves, aucune correction
c0fb0df55b31	DOC	2026-09-05	handoff: approve and close Verify automatic quarter blocker
c2b28c3a4fc3	DOC	2026-09-05	Rejeu bloqueur 1 — ordre littéral de la décision S-5 retenu
c6469a51557c	DOC	2026-09-05	Demande B1 — rejeu exécuté, bloqueur 1 non fermable
c85eb0443ff9	DOC	2026-09-05	handoff: arbitrate Handoff v2 architecture
cb2a302ad505	DOC	2026-09-05	docs: add handoff decision template
d4195e396e1b	DOC	2026-09-05	handoff: approve insert site guard and static guard next
db2ffc4fd01a	DOC	2026-09-05	handoff: approve NEXUS Governance Core v1
db50d4036cfc	DOC	2026-09-05	Handoff v2 — conception du protocole événementiel, en attente d'arbitrage
e76713f483c7	DOC	2026-09-05	handoff: arbitre v2 et ferme le lot
f6b6053e87df	DOC	2026-09-05	Governance Core 1 — constitution, en attente d'arbitrage
16db38b740bd	DOC+APP+MIG	2026-09-05	A16 + A15 — le client n'appelle plus l'interdit, le référentiel devient reproductible
053d7d8ad434	DOC+MIG	2026-09-05	S-3 — la prise de poste suivante clôture le service précédent
8ed96b8bf3e3	DOC+MIG	2026-09-05	S-1 — reprise des services ouverts, puis unicité du service en cours
3ef66464ace4	DOC+MIG+TEST	2026-09-05	MUTATION-SITE-GUARD — les deux anomalies de mutation sont fermées
ba639134f42a	DOC+MIG+TEST	2026-09-05	INSERT-SITE-GUARD — créer n'est plus plus permissif qu'administrer
bd30c7aa849d	DOC+MIG+TEST	2026-09-05	B1 — la prise de poste devient un contrat unique et déterministe
0a11c5af3aeb	DOC+OUT+TEST	2026-09-05	SITE-EXPLICITE-1 phase 2A — harnais de preuve, aucune correction
9c8dffeb0072	DOC+OUT+TEST	2026-09-05	SITE-EXPLICITE-1 phase 2A — demande déposée, et impasse du registre corrigée
a8a55096d5ed	DOC+OUT+TEST	2026-09-05	Handoff v2 — une branche absente n'est pas une branche protégée
f50a518992af	DOC+OUT+TEST	2026-09-05	Handoff v2 — la fraîcheur d'une décision se contrôle à la consommation
f5c776d8cf21	DOC+OUT+TEST	2026-09-05	Handoff v2 — dérogations auditables, consommation gardée, in_reply_to normalisé
ee34d9855fe7	MIG	2026-09-05	S-2 — un pointage de départ clôture le service actif
2036a979bcac		2026-09-06	handoff: preserve awaiting consumption state
a6b9f98e9d7c	APP+TEST	2026-09-06	fix(carburants): distinguer jour commandable de jour de livraison (decision-2.md)
008bab4c6f2c	DOC	2026-09-06	handoff: record pompiste timezone guard proof
0852208cb3f5	DOC	2026-09-06	handoff: ouvrir lot Live Control Center NEXUS
09dddf311237	DOC	2026-09-06	docs(learning): seed append-only orchestrator experience log
18a89d598c35	DOC	2026-09-06	handoff: authorize minimal carburants command correction
191caf25ff91	DOC	2026-09-06	Demande CARB-004 — les quatre points exécutés dans l'ordre
1f9a9175acba	DOC	2026-09-06	handoff: consommer decision-3.md et déposer request-3.md — validation Carburants Test
219d1366717a	DOC	2026-09-06	docs(handoff): streamline reprise for autonomous test loop
27de2626f6a0	DOC	2026-09-06	Demande UNKNOWN-TRIAGE — 27 vers 3, constat créateur remonté sans correction
33e53b528b7d	DOC	2026-09-06	handoff: ouvrir orchestrator event-driven et guardian philosophie
357302d5a87c	DOC	2026-09-06	docs(adr): adopt autonomous orchestrator and backend guardians
3d9ada25c286	DOC	2026-09-06	governance: record creator ownership and client data doctrine
41d856fca578	DOC	2026-09-06	docs: create canonical NEXUS backlog
452eef8b8f14	DOC	2026-09-06	handoff: decision-4 carburants optimisation camion
4d518ce06033	DOC	2026-09-06	docs(learning): record graceful degradation lesson from Claude control-plane
4d75764e1bb2	DOC	2026-09-06	Demande STATIC-GUARD-FINDINGS — trois occurrences fermées, garde à zéro
53a9b21ab8a2	DOC	2026-09-06	docs: define deterministic NEXUS restart procedure
542c20c45340	DOC	2026-09-06	handoff: approve creator site guard and require behavioral helper proof
542ffb66c886	DOC	2026-09-06	docs: establish NEXUS product bible
554597d23fdb	DOC	2026-09-06	docs(bible): codify autonomous execution and progressive learning
5843d8cbb700	DOC	2026-09-06	handoff: activer guardian architecture et coherence
5e7512f66544	DOC	2026-09-06	handoff: enregistrer décision calendrier carburant
5eadf737833d	DOC	2026-09-06	docs(adr): define narrow human-gated control-plane exception on main
61c24b2beeba	DOC	2026-09-06	handoff: consommer decision-2.md du lot Carburants Performance Correction
63ea7585cf14	DOC	2026-09-06	handoff: mark calendar decision ready for consumption
68b70637bc23	DOC	2026-09-06	audit: diagnose carburants performance command anomaly
693570bfccd4	DOC	2026-09-06	docs(handoff): authorize NEXUS Live Test implementation
6bf0c2e5329c	DOC	2026-09-06	handoff: reserver Live Control Center au Createur NEXUS
6c60e62a094d	DOC	2026-09-06	docs(learning): initialize compact operational rules registry
6c81f912a4f7	DOC	2026-09-06	docs: séparer Créateur et Manager pour NEXUS Live Développement
73bed674ae3b	DOC	2026-09-06	handoff: arbitrate static guard findings
74eb1f66ee0f	DOC	2026-09-06	handoff: approve carburants performance audit findings
7599c92866a2	DOC	2026-09-06	handoff: déposer request-2.md — retour d'implémentation Carburants Performance
7ab7177e81fa	DOC	2026-09-06	handoff: enregistrer decision CARB-004
7b576f34898c	DOC	2026-09-06	handoff: activate carburants command correction
7b8d37b9e589	DOC	2026-09-06	docs(governance): establish autonomous orchestrator and backend guardians v2
82117349ec58	DOC	2026-09-06	handoff: préciser calendrier métier commandes carburant
847a7b5aaeed	DOC	2026-09-06	docs(continuity): align roles with autonomous governance v2
9ac7d1265854	DOC	2026-09-06	docs: concevoir MVP NEXUS Live Developpement createur
a10c0cc879ee	DOC	2026-09-06	Demande NAMED-HELPERS-BEHAVIOR-PROOF — activation bloquante non préparée
a9431d5c544d	DOC	2026-09-06	governance: inscrire coherence architecture et permanence des decisions
ad1d3fdef91a	DOC	2026-09-06	docs: establish NEXUS continuity contract
af005b2bc2ea	DOC	2026-09-06	backlog: capture field findings carburants and FDJ
b101fb29200a	DOC	2026-09-06	handoff: autoriser validation fonctionnelle Carburants en Test
c0860191873b	DOC	2026-09-06	NAMED-HELPERS-BEHAVIOR-PROOF — une aide conforme, une aide défaillante
c397f003bcf4	DOC	2026-09-06	handoff: consume carburants audit decision
c8a2c128ab70	DOC	2026-09-06	handoff: approve pompiste timezone guard closure
c9a560b7ea45	DOC	2026-09-06	handoff: enregistrer decision-4 carburants
cacce4103d67	DOC	2026-09-06	handoff: activate carburants performance audit
ddd18bc8a89f	DOC	2026-09-06	handoff: arbitrer CARB-004 optimisation camion
e16f478c3a36	DOC	2026-09-06	docs(learning): document low-cost nexus memory architecture
e1cf00fb0978	DOC	2026-09-06	docs(learning): encode control-plane and degraded capability rules
e2ebb034fdb0	DOC	2026-09-06	handoff: open carburants performance audit lot
ebed352b2a9e	DOC	2026-09-06	handoff: close pompiste timezone guard canonically
f9eb3e6976cc	DOC	2026-09-06	handoff: open carburants command correction lot
fb572700f446	DOC	2026-09-06	handoff: require station-time fix and downgrade defective helper
fc2534169eb5	DOC	2026-09-06	handoff: arbitrate unknown triage and preserve Nexus Connector boundary
fe559162c850	DOC	2026-09-06	Demande CREATEUR-SITES-GUARD — garde à zéro question, doctrine intégrée
693572b382d6	DOC+APP+TEST	2026-09-06	CARB-004 — le plafond à 35 000 L n'était pas une garde métier, c'était l'arrondi
492586cf753d	DOC+MIG+TEST	2026-09-06	STATIC-GUARD-FINDINGS — les trois occurrences trouvées par la garde sont fermées
89ad9fd47a9b	DOC+OUT+MIG+TEST	2026-09-06	security: finalize pompiste station-day guard proof
c469e47f44a9	DOC+OUT+MIG+TEST	2026-09-06	CREATEUR-SITES-GUARD — la protection incidente devient explicite, doctrine intégrée
13acca92c11f	DOC+OUT+TEST	2026-09-06	handoff: reconnaître la supersession structurée et les artefacts hors registre
c1dbc49646a5	DOC+OUT+TEST	2026-09-06	fix(handoff): valider in_reply_to par relation, jamais par rang numérique
c95e5f25f082	DOC+OUT+TEST	2026-09-06	UNKNOWN-TRIAGE — 27 questions ouvertes ramenées à 3, et un constat de sécurité
33251710e7f1	MIG	2026-09-06	migrations: réconcilier le dépôt et Test — plus aucune dérive dans les deux sens
bed222c1243e	OUT	2026-09-06	handoff: accept legitimate protected-ref fast-forwards
ece1fb49058a	OUT	2026-09-06	test: preserve protected-ref validation contract
4cda56e4feab	OUT+TEST	2026-09-06	handoff: reconnaître ATTENTE_CONSOMMATION_DECISION dans le vocabulaire des statuts
f9cbda6fb16d	APP+DOC+TEST+MIG	2026-09-07	Live: réintégrer le MVP NEXUS Live Développement sur la branche canonique
cc572f6258e5	APP+TEST	2026-09-07	CARB-004/Q65 — transport du delta prouvé sur la branche canonique
f16ca7f669e6	AUT+DOC+OUT+TEST	2026-09-07	apprentissage: promouvoir les leçons du 07/09 et servir la mémoire aux agents
b268e58ba67c	AUT+OUT+TEST	2026-09-07	gouvernance: appliquer les pré-autorisations, et le Guardian Business Rules
8c71ed2593f9	CI+AUT+DOC+MIG	2026-09-07	rls: lecture de sites pour le rôle CI, et Q76 en vigueur
1f522c3eb390	CI+DOC	2026-09-07	ci: une base injoignable n'est pas une base qui refuse
add949934070	CI+DOC+MIG	2026-09-07	rls: ouvrir au rôle CI le seul site de recette, et prouver qu'il s'arrête là
5a6a587cd212	CI+DOC+OUT+TEST	2026-09-07	recette: finir le PIN par profil côté CI, et cesser de réclamer un geste fait
b3efd6e479ee	CI+DOC+OUT+TEST	2026-09-07	orchestration: réveil automatique, recette navigateur, semis Test
f78c48bb513b	CI+DOC+OUT+TEST	2026-09-07	garde: une branche de travail ne peut plus attendre en silence
fae08b37d948	CI+OUT	2026-09-07	semis: tenir la promesse d'idempotence que l'en-tête faisait déjà
39bd97869cdf	CI+OUT+TEST	2026-09-07	ci: garde ENV-001 — surveiller que le rail reste raciné sur le canon
540def791007	CI+OUT+TEST	2026-09-07	Live: brancher l'écran, et prouver que le Créateur ENTRE
70589682b821	CI+OUT+TEST	2026-09-07	recette: le login résout sur le NOM, pas sur le username
b3dd1f677684	CI+OUT+TEST	2026-09-07	Guardian Bible — « jamais un chiffre inventé », et les trois gardes câblés
debd46c1a01c	CI+OUT+TEST	2026-09-07	ORCH-002 : Guardians backend intégrés au canon, après calibration
08bf3bfa28e7	DOC	2026-09-07	handoff: point active CARB-004 lot to decision-2
12d32e4f7cdd	DOC	2026-09-07	handoff: arbitrate orchestration autonomie request-2
16d6203c9a11	DOC	2026-09-07	handoff: ouvrir NEXUS-ORCHESTRATION-AUTONOMIE-1, le lot que decision-4 appelle
193b375e00fb	DOC	2026-09-07	governance: audit Claude isolated branches before reconciliation
329ae1c928f6	DOC	2026-09-07	handoff: open orchestration repair lot
587ecd785f5e	DOC	2026-09-07	handoff: classify CARB-004 rail write blocker after request-3
5a6ff4adf1de	DOC	2026-09-07	backlog: capture Carburants negative-stock capacity debt
5fcd8d6303ed	DOC	2026-09-07	backlog: materialize orchestration follow-up lots
648a9294054f	DOC	2026-09-07	handoff: request-2 — la recette est verte, Q71 répondue par la mesure
6e9d271ac241	DOC	2026-09-07	handoff: publier le lot Guardians pour arbitrage
7c3de2511174	DOC	2026-09-07	handoff: déposer request-4 en attente plutôt que contourner la garde
83f39a8dd362	DOC	2026-09-07	handoff: approve orchestration repair in Test only
85134af80932	DOC	2026-09-07	handoff: approve CARB-004 canonical reintegration and Test proof
89556ef9c655	DOC	2026-09-07	backlog: la preuve d'accès POSITIVE à NEXUS Live est obtenue
9169495ab01c	DOC	2026-09-07	handoff: canonicalise Claude CARB-004 request-2
92c188f67131	DOC	2026-09-07	handoff: request-2 — trois Guardians, la mémoire servie, gouvernance déclarée
96c0a698a5cc	DOC	2026-09-07	handoff: arbitrate Carburants request-4
a2e31cfd3a21	DOC	2026-09-07	handoff: materialize Claude orchestration repair return
c08d8154831b	DOC	2026-09-07	backlog: le pooler fonctionne ; c'est la RLS qui refuse le rôle CI
c58c4aed855a	DOC	2026-09-07	handoff: define one controlled retry after failed Claude wake
c718b158e073	DOC	2026-09-07	handoff: preserve Claude request-3 for CARB-004
f6d5133c59d9	DOC	2026-09-07	governance: add controlled retry rule for failed Claude wake
ff6a2d9361a4	DOC	2026-09-07	handoff: arbitrate and close incomplete orchestration repair 1
215c15585b00	DOC+OUT	2026-09-07	sécurité: protéger production, et rendre les deux gestes humains impossibles à oublier
74b364c8c080	DOC+OUT	2026-09-07	handoff: consommer decision-1, et dire que le réveil n'a pas de déclencheur
99a309b5de67	DOC+OUT	2026-09-07	recette: preuve UI CARB-004 sur NEXUS Test, et le jeu de données qui la rend possible
39d6b4d64e58	DOC+OUT+TEST	2026-09-07	handoff: remettre le registre d'aplomb après le passage par le rail cassé
6bd2edd89b7d	DOC+OUT+TEST	2026-09-07	recette: un compte inconnectable n'est pas un accès refusé
f1c96cae5814	DOC+OUT+TEST	2026-09-07	handoff: outiller le dépôt des décisions, fermer REPAIR-1, publier request-4
8716e32897aa	OUT	2026-09-07	recette: attendre la sortie de l'écran de login, au lieu de courir contre lui
23d18d13b6c1	OUT+TEST	2026-09-07	Live: le producteur d'événements — la source qui manquait
7cc749be1829	OUT+TEST	2026-09-07	Guardian QA — détecter les épreuves qui ne peuvent pas échouer
a0f1816ce9c7	OUT+TEST	2026-09-07	Live: le moteur d'état du bloc « Déploiements »
a8f033ee31fa	OUT+TEST	2026-09-07	recette: la preuve Live gagnait une course, elle ne la gagne plus
aa1f81296f5b	OUT+TEST	2026-09-07	recette: juger le refus sur son CODE, pas sur sa prose
d81e36cc96a7	OUT+TEST	2026-09-07	recette: un écart sur données non semées n'accuse pas le moteur
ccbe1fda0ec3	APP+DOC+OUT+TEST	2026-09-08	recette: sept jours à une seule heure, c'était la moitié du domaine
cd5ad6476a45	APP+DOC+OUT+TEST	2026-09-08	Live: le bouton « J'autorise », et trois défauts trouvés en l'écrivant
1f60f21ea111	APP+DOC+TEST	2026-09-08	CARB-007: l'écran Rappels cesse d'inventer les capacités de la station
4ea252c279c7	APP+DOC+TEST	2026-09-08	EVAL-001: un salarié ne lira plus une note qu'il n'a jamais reçue
61e20b7906d5	APP+DOC+TEST	2026-09-08	CARB-007: retirer le simulateur carburant de l'écran Rappels
a299db402057	APP+DOC+TEST	2026-09-08	DEBUG-001: une absence de contrôle ne se peindra plus en vert
3dc1054afac9	APP+OUT+MIG+TEST	2026-09-08	LIVE-001 : la base refusait l'autorisation que l'écran affichait
66e6cb2f387f	APP+OUT+TEST	2026-09-08	Gates: répondre n'est pas résoudre
95babba946de	APP+OUT+TEST	2026-09-08	Live: combler l'angle mort entre le déclenchement Claude et le Handoff
1aad291fbe1e	APP+TEST	2026-09-08	Live: un verdict en haut, calculé — et « SYSTÈME AUTONOME » cesse de mentir
6139dac7ae78	APP+TEST	2026-09-08	Live: dire ce que fait l'équipe, pas le nom de l'agent
724b17aa64bd	APP+TEST	2026-09-08	nav: NEXUS Live devient atteignable, et la navigation cesse de pouvoir mentir
7a7d2ed292c9	APP+TEST	2026-09-08	Live: la chaîne devient visible — Demande → … → Production
80b4d3aea860	APP+TEST	2026-09-08	Live: dire le retard et les sujets, laisser les SHA aux experts
aefe36edaf8e	APP+TEST	2026-09-08	Live: une timeline qui raconte, au lieu d'un journal qui répète
a8a552a2f4c1	AUT+DOC+TEST	2026-09-08	Constitution : marquer les articles 12 et 13, sans les réécrire
290b6dc530f5	CI	2026-09-08	ci: rapporter ce que la base a répondu, pas la cause supposée
2aa332feffe9	CI	2026-09-08	ci: essai décisif — la même insertion sans la clause `on conflict`
42d5fc5d7efc	CI	2026-09-08	ci: demander à la base qui elle a en face, au lieu de le déduire
531e53664fdc	CI	2026-09-08	ci: laisser le rejeu aller jusqu'au bout pour distinguer les deux cas
26d34ed8b190	CI+APP+DOC+OUT+TEST	2026-09-08	Live: le bloc « Déploiements », l'âge du journal, et une publication
0f1b7b0af192	CI+APP+DOC+TEST	2026-09-08	LANG-004 : les agents portent leur nom devant l'utilisateur
e78e4cf99c72	CI+APP+DOC+TEST	2026-09-08	ARCH-003 : l'audit rapatrié, et un écart de 3 € cesse d'être vert
b3638e6340de	CI+APP+OUT+TEST	2026-09-08	Barrière Production : ne pas savoir n'est ni une faute ni une conformité
e99d13d33eba	CI+APP+TEST	2026-09-08	Suite en parallèle : 60 s -> 25 s, avec la preuve que le verdict ne change pas
21049cdaaf7a	CI+DOC	2026-09-08	ci: déclarer que la dérive de l'instantané n'est pas vérifiable, au lieu de rougir
2cbeaa3de49c	CI+DOC	2026-09-08	ci: `-e` tuait le step avant tout message — et rendait muettes les issues nommées
8f36430ebd97	CI+DOC	2026-09-08	ci: rejouer ligne par ligne quand le lot est refusé
e6ea74085e94	CI+DOC	2026-09-08	SEC-018 : la CI peut enfin CONSTATER la dérive de l'instantané
4dfc883fd7d7	CI+DOC+APP+OUT+TEST	2026-09-08	LANG-003 arbitrée portée 1 : la règle vise ce que NEXUS DIT
a012a44b04fd	CI+DOC+APP+TEST	2026-09-08	Suite : un seul lancement, un seul propriétaire, un verdict qui peut dire non
2427a10dff73	CI+DOC+OUT+TEST	2026-09-08	Live: publier sans jamais donner au rôle CI le droit de LIRE le journal
369ee0fc9caf	CI+DOC+OUT+TEST	2026-09-08	répétition: cesser de découvrir l'environnement un cycle de CI à la fois
a79a68404aec	CI+DOC+OUT+TEST	2026-09-08	Guardian Philosophie NEXUS : rapatrié, mécanisé sur ce qui n'est pas un jugement
88048a77f686	CI+DOC+TEST	2026-09-08	Doctrine du langage NEXUS : écrite, et vérifiable
b9c3bf4015a2	CI+DOC+TEST	2026-09-08	Bible : deux principes écrits, et tenus par du code
3465f4c58798	CI+TEST	2026-09-08	actions: read, autorisé par Frédéric, et borné par une garde
0781d44f6c9c	DOC	2026-09-08	handoff: ouvrir le lot de readiness Production
172b57e1149b	DOC	2026-09-08	handoff: canoniser le request-2 Production Readiness
27c38e9edf07	DOC	2026-09-08	handoff: matérialiser decision-1.md GUARDIANS-1 (APPROVED_WITH_CONDITIONS, closes:true)
321b3bfcbc74	DOC	2026-09-08	handoff: autoriser la préparation de promotion Production
47b4600999e2	DOC	2026-09-08	docs: transmettre cadrage audit philosophie et langage NEXUS
58ad184e32f6	DOC	2026-09-08	backlog: SEC-020 — il manque le droit de LECTURE pour résoudre le on conflict
645ef8ea04a9	DOC	2026-09-08	doc: confronter la logique de commande de Frédéric au moteur et à la Bible
8a89a40b75af	DOC	2026-09-08	backlog: CARB-006 est arbitré, les trois preuves de recette sont satisfaites
a36be4d7b565	DOC	2026-09-08	readiness: enregistrer les mesures Production en lecture seule
b032628a9207	DOC	2026-09-08	handoff: audit Philosophie/Bible/vocabulaire/langage, publier request-1
b0507ec843d8	DOC	2026-09-08	handoff: consommer decision-1 GUARDIANS-1, régénérer les miroirs
ba1eed0e833c	DOC	2026-09-08	handoff: rattacher la décision au request de readiness
c68f75c52d38	DOC	2026-09-08	handoff: audit Philosophie/Bible/vocabulaire/langage, publier request-1
e364b7812f55	DOC	2026-09-08	handoff: autoriser la suite déterministe Production Readiness
1762378367bc	DOC+APP+TEST	2026-09-08	COACH-001: aucun reproche ne se fabriquera plus à partir d'un trou de donnée
39b52d502a0e	DOC+APP+TEST	2026-09-08	qa: une épreuve ne doit jamais exiger qu'un défaut EXISTE
1759cc993910	DOC+OUT+TEST	2026-09-08	etat: dire qu'il ne reste aucun geste, au lieu de se taire
90276b4221b3	DOC+TEST	2026-09-08	Bible : le renvoi vers la doctrine du langage, et le lot se ferme
7192ac5ace88	OUT	2026-09-08	Recette: rendre visible la preuve du bouton d'autorisation
7922f2e95c45	OUT	2026-09-08	recette: reconstruire le scénario Carburants contre la VRAIE station Test
5cd4a3cf15c3	OUT+TEST	2026-09-08	recette: PIN dédié par profil (Manager/Créateur), fin du secret partagé
bfd8e7fbe888	OUT+TEST	2026-09-08	ci: isoler la ligne refusée, au lieu de deviner laquelle
f8835252b89d	OUT+TEST	2026-09-08	SEC: la CI ne signe plus au nom de l'Orchestrator ni de Claude
3686ccb8f89f	APP+OUT+TEST	2026-09-09	La recette navigateur juge l'invitation, les jours calmes compris
dee04ba1e31b	APP+OUT+TEST	2026-09-09	Le jeudi à 13 h, c'est le quart 1
02bf32514c01	APP+TEST	2026-09-09	Le renfort est un quart de plein droit, et le planning décide
